condition,medication,meg_alpha_power,meg_low_beta_power,meg_high_beta_power,meg_broad_beta_power,meg_gamma_power,motor_alpha_power,motor_low_beta_power,motor_high_beta_power,motor_broad_beta_power,motor_gamma_power,stn_alpha_power,stn_low_beta_power,stn_high_beta_power,stn_broad_beta_power,stn_gamma_power,stn_left_alpha_power,stn_left_low_beta_power,stn_left_high_beta_power,stn_left_broad_beta_power,stn_left_gamma_power,stn_right_alpha_power,stn_right_low_beta_power,stn_right_high_beta_power,stn_right_broad_beta_power,stn_right_gamma_power,motor_stn_low_beta_coupling,motor_stn_high_beta_coupling,motor_stn_broad_beta_coupling,motor_stn_alpha_coupling,motor_stn_gamma_coupling,motor_stn_left_alpha_coupling,motor_stn_left_low_beta_coupling,motor_stn_left_high_beta_coupling,motor_stn_left_broad_beta_coupling,motor_stn_left_gamma_coupling,motor_stn_right_alpha_coupling,motor_stn_right_low_beta_coupling,motor_stn_right_high_beta_coupling,motor_stn_right_broad_beta_coupling,motor_stn_right_gamma_coupling,motor_stn_task_side_alpha_coupling,motor_stn_task_side_low_beta_coupling,motor_stn_task_side_high_beta_coupling,motor_stn_task_side_broad_beta_coupling,motor_stn_task_side_gamma_coupling,motor_stn_opposite_task_side_alpha_coupling,motor_stn_opposite_task_side_low_beta_coupling,motor_stn_opposite_task_side_high_beta_coupling,motor_stn_opposite_task_side_broad_beta_coupling,motor_stn_opposite_task_side_gamma_coupling,motor_stn_alpha_coupling_asymmetry,motor_stn_low_beta_coupling_asymmetry,motor_stn_high_beta_coupling_asymmetry,motor_stn_broad_beta_coupling_asymmetry,motor_stn_gamma_coupling_asymmetry,alpha_coupling_index,beta_coupling_index,gamma_coupling_index,cortico_stn_coupling_index,beta_coupling_asymmetry,gamma_coupling_asymmetry
HoldB,on,-23.28990031039406,-23.26620685872758,-23.289417287367648,-22.976627038602828,-22.882123511526146,-23.131170525325135,-23.111704212436155,-23.190186905363166,-22.8481451142189,-22.837457676742087,-10.593145535192097,-10.829117009324616,-10.980093533862131,-10.597047432939624,-10.87121507823882,-10.54547338161626,-10.804616335161736,-10.980384958850069,-10.582638502634897,-10.876707195256149,-10.646703318142187,-10.85508296154343,-10.979802304298218,-10.611950873348341,-10.865791548444054,0.09467896074056625,0.18260331451892853,0.14562970399856567,0.03066667914390564,0.06283893436193466,0.02414149045944214,0.07260499149560928,0.17407654225826263,0.13157522678375244,0.06376351416110992,0.03457954153418541,0.1131373792886734,0.18355576694011688,0.1538093090057373,0.061026930809020996,0.03457954153418541,0.1131373792886734,0.18355576694011688,0.1538093090057373,0.061026930809020996,0.02414149045944214,0.07260499149560928,0.17407654225826263,0.13157522678375244,0.06376351416110992,0.010438051074743271,0.04053238779306412,0.009479224681854248,0.022234082221984863,-0.0027365833520889282,0.03066667914390564,0.14097065975268683,0.06283893436193466,0.10328351855278015,0.024081898232301086,-0.0027365833520889282
HoldL,off,-23.09684173516963,-23.231092158479868,-23.301177474555697,-22.962516046025716,-22.93343575584049,-22.974635884468707,-23.11505762336071,-23.2427267320757,-22.870579539379563,-22.941549612542428,-10.28037522471738,-10.923629479137189,-11.225466370908507,-10.74178938208803,-11.020488325660397,-10.284806168378045,-10.930536322808797,-11.255531418606884,-10.75536682394813,-11.002592675730492,-10.28120582658733,-10.923460625367694,-11.206665220987892,-10.735646198636829,-11.06868557016609,0.0642541669192724,0.06365145526102019,0.06387758313471244,0.052646949948070364,0.04468953479728144,0.04995186045093255,0.058405210289897196,0.05774361927760765,0.05797883941429771,0.045652705014476345,0.05253473189530066,0.06570500808302314,0.06454710809436316,0.06502931446561383,0.04300857574497866,0.04995186045093255,0.058405210289897196,0.05774361927760765,0.05797883941429771,0.045652705014476345,0.05253473189530066,0.06570500808302314,0.06454710809436316,0.06502931446561383,0.04300857574497866,0.002582871444368114,0.00729979779312594,0.006803488816755514,0.007050475051316122,-0.002644129269497676,0.052646949948070364,0.06392773510500167,0.04468953479728144,0.05782393801207136,0.0070512538870658595,-0.002644129269497676
HoldL,on,-23.083664358256385,-23.210764583541046,-23.279987413256944,-22.941527681584073,-22.897157720366465,-22.96199003190443,-23.086286640729238,-23.20151389695786,-22.834370303215024,-22.873465847326518,-10.234517816760983,-10.885499022633601,-11.165919816889486,-10.693113207294823,-10.964214759573215,-10.24229393597883,-10.900782276481275,-11.196476360672934,-10.712820093385709,-10.998951655267348,-10.23012942342645,-10.875988284562558,-11.143898107005178,-10.679644905652905,-10.940618399981902,0.08089510586947972,0.0885458806531489,0.08527490147906873,0.055351494805192546,0.06885847028914012,0.05293143387137365,0.07439941773560667,0.07885738560922503,0.07693221960567855,0.06737697011743125,0.05558579861341665,0.07897946286432829,0.08955723507004598,0.08511245239115807,0.06900875559501675,0.05293143387137365,0.07439941773560667,0.07885738560922503,0.07693221960567855,0.06737697011743125,0.05558579861341665,0.07897946286432829,0.08955723507004598,0.08511245239115807,0.06900875559501675,0.0026543647420429993,0.004580045128721626,0.010699849460820948,0.008180232785479535,0.001631785477585499,0.055351494805192546,0.08490529600056579,0.06885847028914012,0.075785170619206,0.007820042458340703,0.001631785477585499
HoldR,off,-21.986712685543917,-22.106285399570087,-22.16413910289178,-21.82725267977037,-21.84136421894442,-21.96493694671173,-22.084024328263997,-22.176621931232717,-21.82130937754481,-21.820906991561426,-10.348843409203983,-10.87830999764033,-11.150992516739294,-10.686341336980389,-11.014771328579224,-10.383850724690982,-10.884533946737195,-11.163361679764465,-10.690191622384555,-11.023733947718577,-10.338696469100663,-10.878330299443718,-11.145241366117206,-10.686970137292812,-11.006359585452927,0.05341141555044387,0.04411264496544997,0.04792210453500351,0.04333788254815671,0.03806133802152342,0.04209453698454632,0.048073833642734425,0.041336251815987955,0.04429165083501074,0.03852524503858553,0.04268859492407905,0.054814670234918594,0.04380110193871789,0.04821955325702826,0.03820973373949527,0.04268859492407905,0.054814670234918594,0.04380110193871789,0.04821955325702826,0.03820973373949527,0.04209453698454632,0.048073833642734425,0.041336251815987955,0.04429165083501074,0.03852524503858553,0.0005940579395327305,0.006740836592184172,0.002464850122729937,0.003927902422017521,-0.00031551129909025287,0.04333788254815671,0.04848205501696578,0.03806133802152342,0.045369077124115496,0.004377863045643877,-0.00031551129909025287
HoldR,on,-22.822153312683756,-22.940802659170732,-23.07743578689779,-22.698914740107764,-22.782334212801484,-22.89985976806128,-23.0382290721895,-23.21223805906339,-22.81263987770666,-22.899010065489765,-10.077698664129153,-10.493680939838002,-10.71035589751864,-10.278234754413742,-10.395557368997283,-10.06477820777909,-10.456932454656277,-10.673925348077828,-10.240214038000225,-10.359046644150636,-10.256105967796712,-10.73464083129599,-10.939244547375987,-10.515199314931648,-10.633563774532808,0.04659988104055326,0.0518829321488738,0.049250463396310805,0.04087824458256364,0.044018316889802615,0.037196077903111774,0.04085207261765997,0.04919195218632619,0.0454200206634899,0.043879597820341586,0.044889939188336336,0.05631483669082324,0.05549908708781004,0.055466708292563754,0.04507769510770837,0.044889939188336336,0.05631483669082324,0.05549908708781004,0.055466708292563754,0.04507769510770837,0.037196077903111774,0.04085207261765997,0.04919195218632619,0.0454200206634899,0.043879597820341586,0.007693861285224556,0.015462764073163271,0.006307134901483854,0.01004668762907386,0.0011980972873667877,0.04087824458256364,0.04924442552857929,0.044018316889802615,0.04652596761162083,0.010605528867906994,0.0011980972873667877
MoveL,off,-23.082188138814164,-23.233048570443085,-23.29961641467934,-22.962889924763644,-22.93154456131792,-22.9595824985561,-23.134974280830082,-23.249772580303585,-22.885113713050988,-22.937019016876047,-10.285163806034207,-10.914173359225122,-11.171938647727549,-10.716179112996175,-10.990644665828318,-10.275561096516055,-10.916754208347447,-11.19676543020882,-10.725248244188824,-10.998330563269421,-10.297525245248673,-10.918340002679543,-11.158879510152547,-10.714797931674092,-10.996923705160633,0.07037961156262705,0.07486268735180299,0.07290791252421008,0.055466223295984995,0.05215529477120273,0.05552148131084525,0.06527314378052122,0.06992081929929554,0.06797878465408252,0.05231679597248634,0.05357364791238473,0.06883933168525497,0.07311898920840273,0.07117881206278172,0.05086753400973976,0.05552148131084525,0.06527314378052122,0.06992081929929554,0.06797878465408252,0.05231679597248634,0.05357364791238473,0.06883933168525497,0.07311898920840273,0.07117881206278172,0.05086753400973976,-0.001947833398460514,0.0035661879047337503,0.0031981699091071882,0.003200027408699195,-0.0014492619627465805,0.055466223295984995,0.07271673714621336,0.05215529477120273,0.06515434590116558,0.003321461740846712,-0.0014492619627465805
MoveL,on,-22.96611446287022,-23.07988583884754,-23.157016391022356,-22.812320543075515,-22.78729497330974,-23.022145142537436,-23.120327908679283,-23.201131133932904,-22.85566963269963,-22.858768968723265,-10.29373810797852,-10.852067534703336,-11.086655915066935,-10.639461838195404,-10.851780525322932,-10.291646064193168,-10.863987419077949,-11.114641541467776,-10.656661834762337,-10.878932544181437,-10.299467645969417,-10.844681598481339,-11.066166299251693,-10.627681018699905,-10.834908579508275,0.0940740334840181,0.10244853356853127,0.0985418576384998,0.061485043402192074,0.06067487063377889,0.05879832935364296,0.0871727611248692,0.09296618920957876,0.09022201756144771,0.060255674303819735,0.061441263454293626,0.09220324736088514,0.09949078451091838,0.09601503908246134,0.059448619080810915,0.05879832935364296,0.0871727611248692,0.09296618920957876,0.09022201756144771,0.060255674303819735,0.061441263454293626,0.09220324736088514,0.09949078451091838,0.09601503908246134,0.059448619080810915,0.0026429341006506644,0.005030486236015956,0.00652459530133961,0.005793021521013644,-0.0008070552230088247,0.061485043402192074,0.09835480823034971,0.06067487063377889,0.08344486774540404,0.005782701019456403,-0.0008070552230088247
MoveR,off,-21.8345417388919,-21.849852205000868,-21.83744216848458,-21.539975538842373,-21.425507001991512,-21.531409330423806,-21.54533438987552,-21.566512002457316,-21.252057918239654,-21.156487837918995,-10.432882656584262,-10.90540883136896,-11.12435496509809,-10.692255252352119,-11.024009175774177,-10.478883723491357,-10.908695518284857,-11.141772427053567,-10.694321043660992,-11.041110052436379,-10.411679750939292,-10.908303993419084,-11.114625779739722,-10.694806318908947,-11.007966059341987,0.08874511616304517,0.08835954503156244,0.08618018617853522,0.1125806060153991,0.09185792077332736,0.11331755570136011,0.08471799921244383,0.08780245943926275,0.08491733027622103,0.09174612956121564,0.10925664380192757,0.0897629885468632,0.08483789083547891,0.08451543785631657,0.09416092345491052,0.10925664380192757,0.0897629885468632,0.08483789083547891,0.08451543785631657,0.09416092345491052,0.11331755570136011,0.08471799921244383,0.08780245943926275,0.08491733027622103,0.09174612956121564,-0.00406091189943254,0.00504498933441937,-0.0029645686037838457,-0.0004018924199044706,0.002414793893694878,0.1125806060153991,0.08776161579104762,0.09185792077332736,0.09354467483237386,0.0005595094369103513,0.002414793893694878
MoveR,on,-23.11588780740152,-23.194640950891355,-23.253010277446634,-22.92119488800357,-22.872027032373943,-23.155802504763383,-23.194762263446258,-23.27754283210658,-22.93268621552245,-22.881940496336107,-10.117545479297293,-10.59760426123108,-10.884471584552431,-10.41255236599091,-10.713514195908074,-10.11783690368883,-10.555718149713334,-10.846895261851493,-10.371264247871487,-10.658374791021135,-10.371540459971591,-10.895624753981917,-11.151250115931909,-10.698410798356164,-10.945287800315706,0.06037748958915472,0.03743924703449011,0.04660472748801112,0.03592120418325066,0.030281026754528286,0.03499697502702474,0.05298034567385912,0.03506219107657671,0.042226143088191746,0.030459734890609977,0.03972004116512835,0.0664996039122343,0.03825852135196328,0.049680509511381386,0.03204717254266143,0.03972004116512835,0.0664996039122343,0.03825852135196328,0.049680509511381386,0.03204717254266143,0.03499697502702474,0.05298034567385912,0.03506219107657671,0.042226143088191746,0.030459734890609977,0.004723066138103605,0.013519258238375187,0.003196330275386572,0.00745436642318964,0.0015874376520514492,0.03592120418325066,0.04814048803721865,0.030281026754528286,0.042124739009886975,0.008056651645650467,0.0015874376520514492
