subject,session,task,run,file_path,channel_name,channel_type,is_meg,is_lfp_stn,lfp_label,lfp_side,lfp_contact_index,is_bad,sampling_rate_hz
sub-0cGdk9,ses-PeriOp,HoldL,1,data/raw/ds004998/sub-0cGdk9/ses-PeriOp/meg/sub-0cGdk9_ses-PeriOp_task-HoldL_acq-MedOff_run-1_meg.fif,MEG0312,grad,True,False,,,,False,2000.0
sub-0cGdk9,ses-PeriOp,HoldL,1,data/raw/ds004998/sub-0cGdk9/ses-PeriOp/meg/sub-0cGdk9_ses-PeriOp_task-HoldL_acq-MedOff_run-1_meg.fif,MEG0311,mag,True,False,,,,False,2000.0
sub-0cGdk9,ses-PeriOp,HoldL,1,data/raw/ds004998/sub-0cGdk9/ses-PeriOp/meg/sub-0cGdk9_ses-PeriOp_task-HoldL_acq-MedOff_run-1_meg.fif,MEG0322,grad,True,False,,,,False,2000.0
sub-0cGdk9,ses-PeriOp,HoldL,1,data/raw/ds004998/sub-0cGdk9/ses-PeriOp/meg/sub-0cGdk9_ses-PeriOp_task-HoldL_acq-MedOff_run-1_meg.fif,MEG0323,grad,True,False,,,,False,2000.0
sub-0cGdk9,ses-PeriOp,HoldL,1,data/raw/ds004998/sub-0cGdk9/ses-PeriOp/meg/sub-0cGdk9_ses-PeriOp_task-HoldL_acq-MedOff_run-1_meg.fif,MEG0321,mag,True,False,,,,False,2000.0
sub-0cGdk9,ses-PeriOp,HoldL,1,data/raw/ds004998/sub-0cGdk9/ses-PeriOp/meg/sub-0cGdk9_ses-PeriOp_task-HoldL_acq-MedOff_run-1_meg.fif,MEG0333,grad,True,False,,,,False,2000.0
sub-0cGdk9,ses-PeriOp,HoldL,1,data/raw/ds004998/sub-0cGdk9/ses-PeriOp/meg/sub-0cGdk9_ses-PeriOp_task-HoldL_acq-MedOff_run-1_meg.fif,MEG0332,grad,True,False,,,,False,2000.0
sub-0cGdk9,ses-PeriOp,HoldL,1,data/raw/ds004998/sub-0cGdk9/ses-PeriOp/meg/sub-0cGdk9_ses-PeriOp_task-HoldL_acq-MedOff_run-1_meg.fif,MEG0331,mag,True,False,,,,False,2000.0
sub-0cGdk9,ses-PeriOp,HoldL,1,data/raw/ds004998/sub-0cGdk9/ses-PeriOp/meg/sub-0cGdk9_ses-PeriOp_task-HoldL_acq-MedOff_run-1_meg.fif,MEG0343,grad,True,False,,,,False,2000.0
sub-0cGdk9,ses-PeriOp,HoldL,1,data/raw/ds004998/sub-0cGdk9/ses-PeriOp/meg/sub-0cGdk9_ses-PeriOp_task-HoldL_acq-MedOff_run-1_meg.fif,MEG0342,grad,True,False,,,,False,2000.0
sub-0cGdk9,ses-PeriOp,HoldL,1,data/raw/ds004998/sub-0cGdk9/ses-PeriOp/meg/sub-0cGdk9_ses-PeriOp_task-HoldL_acq-MedOff_run-1_meg.fif,MEG0341,mag,True,False,,,,False,2000.0
sub-0cGdk9,ses-PeriOp,HoldL,1,data/raw/ds004998/sub-0cGdk9/ses-PeriOp/meg/sub-0cGdk9_ses-PeriOp_task-HoldL_acq-MedOff_run-1_meg.fif,MEG0413,grad,True,False,,,,False,2000.0
sub-0cGdk9,ses-PeriOp,HoldL,1,data/raw/ds004998/sub-0cGdk9/ses-PeriOp/meg/sub-0cGdk9_ses-PeriOp_task-HoldL_acq-MedOff_run-1_meg.fif,MEG0412,grad,True,False,,,,False,2000.0
sub-0cGdk9,ses-PeriOp,HoldL,1,data/raw/ds004998/sub-0cGdk9/ses-PeriOp/meg/sub-0cGdk9_ses-PeriOp_task-HoldL_acq-MedOff_run-1_meg.fif,MEG0411,mag,True,False,,,,False,2000.0
sub-0cGdk9,ses-PeriOp,HoldL,1,data/raw/ds004998/sub-0cGdk9/ses-PeriOp/meg/sub-0cGdk9_ses-PeriOp_task-HoldL_acq-MedOff_run-1_meg.fif,MEG0422,grad,True,False,,,,False,2000.0
sub-0cGdk9,ses-PeriOp,HoldL,1,data/raw/ds004998/sub-0cGdk9/ses-PeriOp/meg/sub-0cGdk9_ses-PeriOp_task-HoldL_acq-MedOff_run-1_meg.fif,MEG0423,grad,True,False,,,,False,2000.0
sub-0cGdk9,ses-PeriOp,HoldL,1,data/raw/ds004998/sub-0cGdk9/ses-PeriOp/meg/sub-0cGdk9_ses-PeriOp_task-HoldL_acq-MedOff_run-1_meg.fif,MEG0421,mag,True,False,,,,False,2000.0
sub-0cGdk9,ses-PeriOp,HoldL,1,data/raw/ds004998/sub-0cGdk9/ses-PeriOp/meg/sub-0cGdk9_ses-PeriOp_task-HoldL_acq-MedOff_run-1_meg.fif,MEG0432,grad,True,False,,,,False,2000.0
sub-0cGdk9,ses-PeriOp,HoldL,1,data/raw/ds004998/sub-0cGdk9/ses-PeriOp/meg/sub-0cGdk9_ses-PeriOp_task-HoldL_acq-MedOff_run-1_meg.fif,MEG0433,grad,True,False,,,,False,2000.0
sub-0cGdk9,ses-PeriOp,HoldL,1,data/raw/ds004998/sub-0cGdk9/ses-PeriOp/meg/sub-0cGdk9_ses-PeriOp_task-HoldL_acq-MedOff_run-1_meg.fif,MEG0431,mag,True,False,,,,False,2000.0
sub-0cGdk9,ses-PeriOp,HoldL,1,data/raw/ds004998/sub-0cGdk9/ses-PeriOp/meg/sub-0cGdk9_ses-PeriOp_task-HoldL_acq-MedOff_run-1_meg.fif,MEG0443,grad,True,False,,,,False,2000.0
sub-0cGdk9,ses-PeriOp,HoldL,1,data/raw/ds004998/sub-0cGdk9/ses-PeriOp/meg/sub-0cGdk9_ses-PeriOp_task-HoldL_acq-MedOff_run-1_meg.fif,MEG0442,grad,True,False,,,,False,2000.0
sub-0cGdk9,ses-PeriOp,HoldL,1,data/raw/ds004998/sub-0cGdk9/ses-PeriOp/meg/sub-0cGdk9_ses-PeriOp_task-HoldL_acq-MedOff_run-1_meg.fif,MEG0441,mag,True,False,,,,False,2000.0
